target,input
Very Negative,"This model may be ok for sedentary types, but I'm active and get around alot in my job - consistently found these stockings rolled up down by my ankles! Not Good!! Solution: go with the standard compression stocking, 20-30, stock #114622. Excellent support, stays up and gives me what I need. Both pair of these also tore as I struggled to pull them up all the time. Good riddance/bad investment!"
Positive,"This is a fast read filled with unexpected humour and profound insights into the art of politics and policy. In brief, it is sly, wry, and wise."
Negative,"I bought one of these chargers..the instructions say the lights stay on while the battery charges...true. The instructions doNT say the lights turn off when its done. Which is also true. 24 hours of charging and the lights stay on. I returned it thinking I had a bad unit.The new one did the same thing. I just kept it since it does charge...but the lights are useless since they seem to always stay on. It's a ""backup"" charger for when I manage to drain all my AAs but I wouldn't want this as my only charger."
Negative,"I was excited to find a book ostensibly about Muslim feminism, but this volume did not live up to the expectations.One essay, among other things, describes the veil as potentially liberating. It doesn't begin to explain how or why.Another, on Muslim women in Cape Town, claims that Muslim women there are separate but ""more than equal."" Gee whiz, what a disappointment.I had expected and hoped for at least one Muslim feminist condemnation of gender apartheid. But there is not a single one in the book.I'm surprised it didn't have an essay extolling the virtues of female genital mutilation.--Alyssa A. Lappen"
Negative,"I am a big JVC fan, but I do not like this model, I was suspiscious when I saw several units in the return section of the store. I bought one anyway (new) and must say I am not happy. The unit sends out clicks to the receiver once in a while, the transition between scenes is not always smooth,(like a little pause) and while it is still fairly new I can't get any DVD,CD or even a DVD headcleaner to work. All I get is a ""incorrect disc"" message."
Negative,"I love the style of this, but after a couple years, the DVD is giving me problems. It doesn't even work anymore and I use my broken PS2 Now. I wouldn't recommend this, I'm just going to upgrade to a recorder now. I wish it would work but I guess i'm giving up on JVC. I really did like this one... before it stopped working. The dvd player gave me problems probably after a year of having it."
Negative,"I cannot scroll through a DVD menu that is set up vertically. The triangle keys will only select horizontally. So I cannot select anything on most DVD's besides play. No special features, no language select, nothing, just play."
Neutral,"This movie with all of its animals really keeps my grandson occupied when I'm babysitting. He loves watching it over and over again. I can get so much accomplished before he gets bored with it. So, it is worth the money! As a matter of fact, I'm buying one for his house, his 3 y/o cousins' and my house. We're saying goodbye to Netflix! Way to go Amazon!!Gammy"
Very Positive,"I found a copy of this cookbook at a local used book store and mixed up a sourdough starter the following day. It was bubbling away the next morning and I can't wait to try it in a few more days...The directions in this book are simple to follow. The anecdotes and history provided are entertaining. The recipes all sound delicious! I'll be working my way through many of these, starting of course with the sourdough hotcakes and bread. The handwritten format just adds to the charm of the book. If you're interested in learning to make sourdoughs, this book will give you all the information you'll need."
Neutral,"The book is a basic ""how to"" book for using sourdough. The author obviously has lots of experience cooking with a sourdough starter.I would have loved more recipes, but I did go search for my more on the internet."
Neutral,"I compared a few different flat panels with review before I narrowed down my pick, which ended up with the Sylvania as over well liked. The picture got great reviews which yes it does have a good picture to look at but there are other important qualities you enjoy that makes viewing tv all the better. For example: sound... how was that forgotten?In this flat panel, it was. What a disappointment. If this is consider stereo than why does it sound like its coming from a tin can with no base at all. Then too boot, if you play the dvd, the sound drops and you have to really turn up the volume to hear.I want the whole package deal: space saving, great picture, and good sound. I want to enjoy the whole experience of watching and listening. How about you?"
Neutral,"It's a good book, but the maps are not very good, covering only parts of central areas and there aren't subway maps. Moreover there isn't anything about hostels!"
Negative,"The narrative style of this work by famous founders' biographer John Morse is arrogant, flippant and frequently exaggerated. It carries the tone of the amateur Yankee historian on high, passing judgment on this Southern statesman who was neither from Boston nor a Harvard graduate. Perhaps considered penetrating for its day, it really represents nothing more than opinion today. The research is so thin that one must conclude that Morse wrote the entire manuscript essentially from memory, with little reference to the primary and secondary sources we expect of historians now. If it weren't for the fact that Morse wrote this piece 110 years ago, I'd have rated it only one star."
Very Negative,"This game requires quicktime 5.0 to work...if you have a better version of quicktime (I have 7.5), it will ask you to install the quicktime available on the CD...if you click no, it will not let you play. So, I begrudgingly clicked yes on the third try, and it installed quicktime 5, THEN it tells me to please install the quicktime available on the disc. It KEPT telling me that, even after I uninstalled my version of quicktime 7.5, and reinstalled Barbie Rapunzel and quicktime 5. Very frustrating, and the game absolutely will not work for me. It keeps telling me over and over, to install quicktime 5, tho I've been through the installation process repeatedly. It is NOT my ""operating system limitations"". This is a brand new computer...merely weeks old with all the state of the art contraptions."
Very Positive,"I purchased this software for my 5 year old granddaughter and she loves playing it so much. She lets me play it sometimes, but she doesn't always like what I come up with. I plan to purchase other software programs for her."
Very Positive,"My daughter absolutely loves this game! It's easy to use and requires no adult supervision. Best of all, it allows girls to use their creativity to design their own castle one room at a time. What more could a girl want! My daughter wants to play it every day and I have to find excuses to keep her away! Too bad not all the Barbie games are this easy and fun. I've been very disappointed in others I purchased. I discovered that they're not all designed/published by the same company. I paid 5.99 for this game on clearance and it's been worth 10 times this amount!"
Negative,"This game is pretty exciting and it is very nice and it is really creative and one of a kind. The only bad thing is that there is only one ""castle"" for the kids to ""decorate"" and once you are done with the whole castle that is basically it. You either have to create a new username for yourself to do it all over again or you get another game like I did. My sister finished the ""castle"" in about 2 hours and after that has never even looked at this game anymore. It is a nice game and it is fun but it is not really worth that much money."
Very Negative,"NEGATIVE: This game does not work with OS X and requires the CD so you can't have it on multiple computers. It is slow I have to tell my daughter that it is thinking a lot, this is because it has to access the CD everytime there is a new task. You can't view the openning sequence again without throwing out the saved game files. Some of the tasks and controls are too hard and not user friendly even for adults.it CRASHES all the time.Mouse is jumpy and hard to use.POSITIVE: Some tasks are easy, possible to use, grand and beautiful.My three year has enough patience to survive the multiple trials to get this to work."
Positive,My 4year old really likes this game. She's not addicted to it but loves the style of the program and it is one of her favourite games. I recommend this program for 4-7 year olds. Anybody older may find it limited.
Neutral,"I once purchased a 12"" of Jesse Rae's song RUSHA. I really enjoyed it and thought it might be nice to have an overview of his work. It's funny how you can remember somthing fondly only to hear it later in life and think...it's okay. Sorry, but the same is true for this recording, a bit dated, a bit tiresome, but fun."
